Place of interest,Place address,BiciMAD station,Station location,Distance,Available Bikes,URL google maps
Colegio Público Arcipreste de Hita,CALLE ANTONIO MORENO 25,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1799.9096745032641,4,https://www.google.com/maps/dir/Colegio+Público+Arcipreste+de+Hita/Bicimad+Marqués+de+Vadillo
Colegio Público Arquitecto Gaudí,CALLE ROSA JARDON 10,Pío XII,Avenida Pío XII nº 3,1057.1744527615588,5,https://www.google.com/maps/dir/Colegio+Público+Arquitecto+Gaudí/Bicimad+Pío+XII
Colegio Público Asturias,CALLE ASTURIANOS 2,Pavones,Calle Hacienda de Pavones nº 342,2119.2807233444555,11,https://www.google.com/maps/dir/Colegio+Público+Asturias/Bicimad+Pavones
Colegio Público Ausias March,CALLE ESTEFANITA 9,Embajadores 191,Calle Sodio nº 1B,5289.300378147228,8,https://www.google.com/maps/dir/Colegio+Público+Ausias+March/Bicimad+Embajadores+191
Colegio Público Azorín,CALLE GODELLA 57,Embajadores 191,Calle Sodio nº 1B,5173.436399213045,8,https://www.google.com/maps/dir/Colegio+Público+Azorín/Bicimad+Embajadores+191
Colegio Público Barcelona,AVENIDA LA VERBENA DE LA PALOMA 14,Glorieta de Cádiz,Calle Antonio López nº 129,3427.3505816924985,12,https://www.google.com/maps/dir/Colegio+Público+Barcelona/Bicimad+Glorieta+de+Cádiz
Colegio Público Blas de Lezo,CALLE FROMISTA 27,Pedro Rico,Calle Pedro Rico nº 4,3838.018385228929,2,https://www.google.com/maps/dir/Colegio+Público+Blas+de+Lezo/Bicimad+Pedro+Rico
Colegio Público Blas de Otero,CALLE PUENTELARRA 34,Pavones,Calle Hacienda de Pavones nº 342,3300.764619099777,11,https://www.google.com/maps/dir/Colegio+Público+Blas+de+Otero/Bicimad+Pavones
Colegio Público Bolivia,CALLE VILLAVALIENTE 29,Caramuel,Calle Caramuel nº 51,2386.428397853959,5,https://www.google.com/maps/dir/Colegio+Público+Bolivia/Bicimad+Caramuel
Colegio Público Bravo Murillo,CALLE ISLAS CIES 11,Francos Rodríguez,Calle Francos Rodríguez nº 62,2875.6952380731736,8,https://www.google.com/maps/dir/Colegio+Público+Bravo+Murillo/Bicimad+Francos+Rodríguez
Colegio Público Breogán,CALLE GINZO DE LIMIA 2,Remonta,Calle Azucenas nº 1,1490.7085619073357,4,https://www.google.com/maps/dir/Colegio+Público+Breogán/Bicimad+Remonta
Colegio Público Calderón de la Barca,CALLE CALDERON 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7824.138677173688,13,https://www.google.com/maps/dir/Colegio+Público+Calderón+de+la+Barca/Bicimad+Gutierre+de+Cetina
Colegio Público Camilo José Cela,CALLE MELCHOR FERNANDEZ ALMAGRO 22,Pedro Rico,Calle Pedro Rico nº 4,1415.1398946766672,2,https://www.google.com/maps/dir/Colegio+Público+Camilo+José+Cela/Bicimad+Pedro+Rico
Colegio Público Capitán Cortés,CALLE MONSEÑOR OSCAR ROMERO 17,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3507.7411369122656,4,https://www.google.com/maps/dir/Colegio+Público+Capitán+Cortés/Bicimad+Marqués+de+Vadillo
Colegio Público Cardenal Herrera Oria,CALLE FERMIN CABALLERO 68,Pedro Rico,Calle Pedro Rico nº 4,2528.194737035252,2,https://www.google.com/maps/dir/Colegio+Público+Cardenal+Herrera+Oria/Bicimad+Pedro+Rico
Colegio Público Carlos Sáinz de los Terreros,CALLE CARTAMA 1,Pavones,Calle Hacienda de Pavones nº 342,1801.027426700501,11,https://www.google.com/maps/dir/Colegio+Público+Carlos+Sáinz+de+los+Terreros/Bicimad+Pavones
Colegio Público Carlos V,CALLE VIRGEN DEL VAL 3,Avenida Donostiarra,Calle Virgen de la Alegría nº 18,264.91304747408594,22,https://www.google.com/maps/dir/Colegio+Público+Carlos+V/Bicimad+Avenida+Donostiarra
Colegio Público Carmen Cabezuelo,CALLE CANGAS DE ONIS 7,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1357.0722648710184,13,https://www.google.com/maps/dir/Colegio+Público+Carmen+Cabezuelo/Bicimad+Gutierre+de+Cetina
Colegio Público Carmen Laforet,CALLE TITANIO 16,Pavones,Calle Hacienda de Pavones nº 342,3971.564979086387,11,https://www.google.com/maps/dir/Colegio+Público+Carmen+Laforet/Bicimad+Pavones
Colegio Público Cervantes,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 4,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,67.54714034859269,10,https://www.google.com/maps/dir/Colegio+Público+Cervantes/Bicimad+Glorieta+de+los+Cuatro+Caminos
Colegio Público Ciudad Pegaso,AVENIDA SEPTIMA 12,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5174.80324696222,13,https://www.google.com/maps/dir/Colegio+Público+Ciudad+Pegaso/Bicimad+Gutierre+de+Cetina
Colegio Público Ciudad de Badajoz,CALLE FRAY JOSE CERDEIRIÑA 51,Caramuel,Calle Caramuel nº 51,6277.747282976473,5,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+Badajoz/Bicimad+Caramuel
Colegio Público Ciudad de Córdoba,CALLE LILLO 1,Glorieta de Cádiz,Calle Antonio López nº 129,2956.0633215564503,12,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+Córdoba/Bicimad+Glorieta+de+Cádiz
Colegio Público Ciudad de Guadalajara,CALLE BERGANTIN 13,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7063.603090606083,13,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+Guadalajara/Bicimad+Gutierre+de+Cetina
Colegio Público Ciudad de Jaén,CALLE MADRE ROSA BLANCO 3,Glorieta de Cádiz,Calle Antonio López nº 129,1825.2118679555028,12,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+Jaén/Bicimad+Glorieta+de+Cádiz
Colegio Público Ciudad de Roma,CALLE JUAN ESPLANDIU 2,Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,318.4489044976303,12,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+Roma/Bicimad+Parque+Roma
Colegio Público Ciudad de Valencia,AVENIDA MEDITERRANEO 91,Pavones,Calle Hacienda de Pavones nº 342,3763.0969158662338,11,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+Valencia/Bicimad+Pavones
Colegio Público Ciudad de Zaragoza,CALLE MANUEL AGUILAR MUÑOZ 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6513.363527286996,13,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+Zaragoza/Bicimad+Gutierre+de+Cetina
Colegio Público Ciudad de los Ángeles,CALLE LA ALEGRIA DE LA HUERTA 6,Glorieta de Cádiz,Calle Antonio López nº 129,3735.4002673667223,12,https://www.google.com/maps/dir/Colegio+Público+Ciudad+de+los+Ángeles/Bicimad+Glorieta+de+Cádiz
Colegio Público Claudio Moyano,CALLE CEA BERMUDEZ 26,Parque Santander,Calle Santander esquina con Avenida de Filipinas,256.1067806829495,13,https://www.google.com/maps/dir/Colegio+Público+Claudio+Moyano/Bicimad+Parque+Santander
Colegio Público Complejo Escolar Príncipe Felipe,AVENIDA MONFORTE DE LEMOS 24,Pedro Rico,Calle Pedro Rico nº 4,1403.0044338824484,2,https://www.google.com/maps/dir/Colegio+Público+Complejo+Escolar+Príncipe+Felipe/Bicimad+Pedro+Rico
Colegio Público Concepción Arenal,CALLE ANTONIO LOPEZ 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,194.7266522771596,4,https://www.google.com/maps/dir/Colegio+Público+Concepción+Arenal/Bicimad+Marqués+de+Vadillo
Colegio Público Concha Espina,CALLE GERARDO DIEGO 6,Pavones,Calle Hacienda de Pavones nº 342,1931.0802039972675,11,https://www.google.com/maps/dir/Colegio+Público+Concha+Espina/Bicimad+Pavones
Colegio Público Conde de Romanones,CALLE ELFO 143,C.D. Concepción,Calle Jose del Hierro nº 5,673.1614668401803,6,https://www.google.com/maps/dir/Colegio+Público+Conde+de+Romanones/Bicimad+C.D.+Concepción
Colegio Público Cortes de Cádiz,AVENIDA NICETO ALCALA ZAMORA 48,Manuel Caldeiro,Paseo de la Castellana nº 298,3927.0987317894683,9,https://www.google.com/maps/dir/Colegio+Público+Cortes+de+Cádiz/Bicimad+Manuel+Caldeiro
Colegio Público Costa Rica,CALLE CAMARENA 247,Caramuel,Calle Caramuel nº 51,4037.5970279230414,5,https://www.google.com/maps/dir/Colegio+Público+Costa+Rica/Bicimad+Caramuel
Colegio Público Cristóbal Colón,CARRETERA CARABANCHEL A VILLAVERDE 109,Glorieta de Cádiz,Calle Antonio López nº 129,4346.754164006924,12,https://www.google.com/maps/dir/Colegio+Público+Cristóbal+Colón/Bicimad+Glorieta+de+Cádiz
Colegio Público Cuba,CALLE TEMBLEQUE 58,Caramuel,Calle Caramuel nº 51,3987.1128332943053,5,https://www.google.com/maps/dir/Colegio+Público+Cuba/Bicimad+Caramuel
Colegio Público Daniel Vázquez Díaz,CALLE ARMENTEROS 46,Francos Rodríguez,Calle Francos Rodríguez nº 62,1056.0474172178435,8,https://www.google.com/maps/dir/Colegio+Público+Daniel+Vázquez+Díaz/Bicimad+Francos+Rodríguez
Colegio Público Dionisio Ridruejo,CALLE ZIPAQUIRA 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,3637.7639290207635,14,https://www.google.com/maps/dir/Colegio+Público+Dionisio+Ridruejo/Bicimad+Carlota+O’Neill
Colegio Público Doctor Conde Arruga,CALLE HACIENDA DE PAVONES 105,Marroquina,Calle Camino de los Vinateros nº 108,604.2911006434575,16,https://www.google.com/maps/dir/Colegio+Público+Doctor+Conde+Arruga/Bicimad+Marroquina
Colegio Público Doctor Federico Rubio,AVENIDA DOCTOR FEDERICO RUBIO Y GALI 53,Pablo Iglesias,Calle Francisco Balseiro nº 1,152.4713275640646,16,https://www.google.com/maps/dir/Colegio+Público+Doctor+Federico+Rubio/Bicimad+Pablo+Iglesias
Colegio Público Doctor Severo Ochoa,CALLE EZCARAY 3,Pavones,Calle Hacienda de Pavones nº 342,2581.1521447118184,11,https://www.google.com/maps/dir/Colegio+Público+Doctor+Severo+Ochoa/Bicimad+Pavones
Colegio Público Doctor Tolosa Latour,CALLE ASTURIANOS 4,Pavones,Calle Hacienda de Pavones nº 342,2205.4263118846598,11,https://www.google.com/maps/dir/Colegio+Público+Doctor+Tolosa+Latour/Bicimad+Pavones
Colegio Público Dámaso Alonso,AVENIDA ESPINELA 1,Glorieta de Cádiz,Calle Antonio López nº 129,4875.735076568373,12,https://www.google.com/maps/dir/Colegio+Público+Dámaso+Alonso/Bicimad+Glorieta+de+Cádiz
Colegio Público EEUU - Huarte de San Juan,PASEO COMANDANTE FORTEA 71,Paseo de Moret,Paseo de Moret nº 11,1099.3995463237354,9,https://www.google.com/maps/dir/Colegio+Público+EEUU+-+Huarte+de+San+Juan/Bicimad+Paseo+de+Moret
Colegio Público Eduardo Rojo,CALLE EDUARDO ROJO 5,Concordia,Calle Arroyo del Olivar nº 6,793.7275771736478,2,https://www.google.com/maps/dir/Colegio+Público+Eduardo+Rojo/Bicimad+Concordia
Colegio Público El Espinillo,CALLE UNANIMIDAD 1,Embajadores 191,Calle Sodio nº 1B,3099.1806796793335,8,https://www.google.com/maps/dir/Colegio+Público+El+Espinillo/Bicimad+Embajadores+191
Colegio Público El Greco,CALLE ESTEFANITA 7,Embajadores 191,Calle Sodio nº 1B,5166.267551065543,8,https://www.google.com/maps/dir/Colegio+Público+El+Greco/Bicimad+Embajadores+191
Colegio Público El Madroño,CALLE LAS MARISMAS 14,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,572.5640031769813,19,https://www.google.com/maps/dir/Colegio+Público+El+Madroño/Bicimad+Plaza+del+Encuentro
Colegio Público El Quijote,CALLE FUENTIDUEÑA 4,Pavones,Calle Hacienda de Pavones nº 342,3078.9116280384496,11,https://www.google.com/maps/dir/Colegio+Público+El+Quijote/Bicimad+Pavones
Colegio Público El Sol,AVENIDA CANILLEJAS A VICALVARO 82,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3330.444823195449,13,https://www.google.com/maps/dir/Colegio+Público+El+Sol/Bicimad+Gutierre+de+Cetina
Colegio Público Emilia Pardo Bazán,CALLE VENTORRILLO 14,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,241.4521111391668,19,https://www.google.com/maps/dir/Colegio+Público+Emilia+Pardo+Bazán/Bicimad+Ribera+de+Curtidores
Colegio Público Ermita del Santo,PASEO ERMITA DEL SANTO 18,Ermita Santo,Paseo de la Ermita del Santo nº 48,470.2865125687094,10,https://www.google.com/maps/dir/Colegio+Público+Ermita+del+Santo/Bicimad+Ermita+Santo
Colegio Público Escuelas Aguirre,CALLE PIO BAROJA 4,Pío Baroja,Calle Pío Baroja nº 10,140.63588010128603,15,https://www.google.com/maps/dir/Colegio+Público+Escuelas+Aguirre/Bicimad+Pío+Baroja
Colegio Público Escuelas Bosque,AVENIDA SANTO ANGEL DE LA GUARDA 4,Francos Rodríguez,Calle Francos Rodríguez nº 62,564.5788257318676,8,https://www.google.com/maps/dir/Colegio+Público+Escuelas+Bosque/Bicimad+Francos+Rodríguez
Colegio Público Esperanza,CALLE ANDORRA 12,Carlota O’Neill,Calle Carlota O'Neill nº 32,2006.0594493611104,14,https://www.google.com/maps/dir/Colegio+Público+Esperanza/Bicimad+Carlota+O’Neill
Colegio Público Eugenio María de Hostos,CALLE VALDEVARNES 26,Francos Rodríguez,Calle Francos Rodríguez nº 62,1761.4127015299134,8,https://www.google.com/maps/dir/Colegio+Público+Eugenio+María+de+Hostos/Bicimad+Francos+Rodríguez
Colegio Público Felipe II,AVENIDA ASTURIAS 70,Remonta,Calle Azucenas nº 1,1122.2086927975292,4,https://www.google.com/maps/dir/Colegio+Público+Felipe+II/Bicimad+Remonta
Colegio Público Fernando el Católico,CALLE FERNANDO EL CATOLICO 16,Fernando el Católico,Calle Fernando el Católico nº 19,147.7415517511611,6,https://www.google.com/maps/dir/Colegio+Público+Fernando+el+Católico/Bicimad+Fernando+el+Católico
Colegio Público Fernández de Moratín,AVENIDA VALLADOLID 2,Paseo de Moret,Paseo de Moret nº 11,717.076710893469,9,https://www.google.com/maps/dir/Colegio+Público+Fernández+de+Moratín/Bicimad+Paseo+de+Moret
Colegio Público Filósofo Séneca,CALLE SANTA ADELA 21,Pío XII,Avenida Pío XII nº 3,3604.7753433153366,5,https://www.google.com/maps/dir/Colegio+Público+Filósofo+Séneca/Bicimad+Pío+XII
Colegio Público Fontarrón,CALLE ARROYO FONTARRON 24,Pavones,Calle Hacienda de Pavones nº 342,595.7075301308042,11,https://www.google.com/maps/dir/Colegio+Público+Fontarrón/Bicimad+Pavones
Colegio Público Francisco Arranz,CALLE SONDICA 2,Caramuel,Calle Caramuel nº 51,5380.628144711094,5,https://www.google.com/maps/dir/Colegio+Público+Francisco+Arranz/Bicimad+Caramuel
Colegio Público Francisco Fatóu,CAMINO SUERTE 23,Pavones,Calle Hacienda de Pavones nº 342,3258.313853956437,11,https://www.google.com/maps/dir/Colegio+Público+Francisco+Fatóu/Bicimad+Pavones
Colegio Público Francisco Ruano,CALLE ALMURADIEL 150,Méndez Álvaro,Calle Retama nº 5,1586.038981504765,15,https://www.google.com/maps/dir/Colegio+Público+Francisco+Ruano/Bicimad+Méndez+Álvaro
Colegio Público Francisco de Goya,CALLE ANTILLON 23,Caramuel,Calle Caramuel nº 51,243.15175763412697,5,https://www.google.com/maps/dir/Colegio+Público+Francisco+de+Goya/Bicimad+Caramuel
Colegio Público Francisco de Luis,CALLE CORREGIDOR RODRIGO RODRIGUEZ 5,Camino Vinateros,Calle Camino de los Vinateros nº 28,336.7530661815207,12,https://www.google.com/maps/dir/Colegio+Público+Francisco+de+Luis/Bicimad+Camino+Vinateros
Colegio Público Francisco de Quevedo,CALLE GRANADA 16,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,126.55610683040013,12,https://www.google.com/maps/dir/Colegio+Público+Francisco+de+Quevedo/Bicimad+Puerta+de+Granada
Colegio Público Fray Junípero Serra,CAMINO VALDERRIBAS 120,Sierra Toledana,Camino de Valderribas nº 94,505.5330399439195,10,https://www.google.com/maps/dir/Colegio+Público+Fray+Junípero+Serra/Bicimad+Sierra+Toledana
Colegio Público Gabriela Mistral,CALLE MIRALLOS 3,Manuel Caldeiro,Paseo de la Castellana nº 298,3727.77869041903,9,https://www.google.com/maps/dir/Colegio+Público+Gabriela+Mistral/Bicimad+Manuel+Caldeiro
Colegio Público Gandhi,CALLE GANDHI 10,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,830.9652051304188,13,https://www.google.com/maps/dir/Colegio+Público+Gandhi/Bicimad+Gutierre+de+Cetina
Colegio Público Garcilaso de la Vega,CALLE TREFACIO 18,Carlota O’Neill,Calle Carlota O'Neill nº 32,3076.417702686928,14,https://www.google.com/maps/dir/Colegio+Público+Garcilaso+de+la+Vega/Bicimad+Carlota+O’Neill
Colegio Público García Morente,RONDA SUR 229,Concordia,Calle Arroyo del Olivar nº 6,2278.5255709487665,2,https://www.google.com/maps/dir/Colegio+Público+García+Morente/Bicimad+Concordia
Colegio Público Giner de los Ríos,CALLE MEMBEZAR 25,Concordia,Calle Arroyo del Olivar nº 6,1616.9256307486664,2,https://www.google.com/maps/dir/Colegio+Público+Giner+de+los+Ríos/Bicimad+Concordia
Colegio Público Gloria Fuertes,CALLE CENSO 3,Glorieta de Cádiz,Calle Antonio López nº 129,2255.252676765645,12,https://www.google.com/maps/dir/Colegio+Público+Gloria+Fuertes/Bicimad+Glorieta+de+Cádiz
Colegio Público Gonzalo Fernández de Córdoba,CALLE ADANERO 3,Caramuel,Calle Caramuel nº 51,5904.14041528848,5,https://www.google.com/maps/dir/Colegio+Público+Gonzalo+Fernández+de+Córdoba/Bicimad+Caramuel
Colegio Público Gonzalo de Berceo,AVENIDA ABRANTES 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1623.1592725549203,4,https://www.google.com/maps/dir/Colegio+Público+Gonzalo+de+Berceo/Bicimad+Marqués+de+Vadillo
Colegio Público Guindalera,CALLE BOSTON 3,Camilo José Cela,Avenida de Camilo José Cela nº 23,103.18422075091061,8,https://www.google.com/maps/dir/Colegio+Público+Guindalera/Bicimad+Camilo+José+Cela
Colegio Público Gustavo Adolfo Bécquer,CALLE SANTA GENOVEVA 32,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,329.80311446399156,7,https://www.google.com/maps/dir/Colegio+Público+Gustavo+Adolfo+Bécquer/Bicimad+Marqués+de+Corbera+52
Colegio Público Haití,CALLE GUABAIRO 22,Caramuel,Calle Caramuel nº 51,3246.758330780944,5,https://www.google.com/maps/dir/Colegio+Público+Haití/Bicimad+Caramuel
Colegio Público Hermanos Pinzón,CALLE AZOR 4,Caramuel,Calle Caramuel nº 51,4643.52139903896,5,https://www.google.com/maps/dir/Colegio+Público+Hermanos+Pinzón/Bicimad+Caramuel
Colegio Público Hernán Cortés,CALLE LOS YEBENES 241,Caramuel,Calle Caramuel nº 51,3230.123898599481,5,https://www.google.com/maps/dir/Colegio+Público+Hernán+Cortés/Bicimad+Caramuel
Colegio Público Honduras,PASEO FEDERICO GARCIA LORCA 19,Pavones,Calle Hacienda de Pavones nº 342,2951.877112237802,11,https://www.google.com/maps/dir/Colegio+Público+Honduras/Bicimad+Pavones
Colegio Público Hortaleza,CALLE VALDETORRES DE JARAMA 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,3201.685935952046,14,https://www.google.com/maps/dir/Colegio+Público+Hortaleza/Bicimad+Carlota+O’Neill
Colegio Público Infanta Leonor,CALLE MONASTERIO DE EL PAULAR 140,Pedro Rico,Calle Pedro Rico nº 4,3293.1994903044433,2,https://www.google.com/maps/dir/Colegio+Público+Infanta+Leonor/Bicimad+Pedro+Rico
Colegio Público Isaac Albéniz,CALLE DRACENA 29,Pío XII,Avenida Pío XII nº 3,987.7896122388271,5,https://www.google.com/maps/dir/Colegio+Público+Isaac+Albéniz/Bicimad+Pío+XII
Colegio Público Isaac Peral,GLORIETA RUFINO NOVALVOS 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2080.300778076727,4,https://www.google.com/maps/dir/Colegio+Público+Isaac+Peral/Bicimad+Marqués+de+Vadillo
Colegio Público Isabel la Católica,CALLE BARCELO 2,Barceló,Calle Barceló nº 7,78.21756507546027,17,https://www.google.com/maps/dir/Colegio+Público+Isabel+la+Católica/Bicimad+Barceló
Colegio Público Jaime Balmes,CALLE SIERRA DE LA SOLANA 2,Concordia,Calle Arroyo del Olivar nº 6,851.4809763964519,2,https://www.google.com/maps/dir/Colegio+Público+Jaime+Balmes/Bicimad+Concordia
Colegio Público Jaime Vera,CALLE BRAVO MURILLO 162,Estrecho,Calle Navarra nº 1,119.02399567869811,2,https://www.google.com/maps/dir/Colegio+Público+Jaime+Vera/Bicimad+Estrecho
Colegio Público Javier de Miguel,CALLE JAVIER DE MIGUEL 90,Concordia,Calle Arroyo del Olivar nº 6,1293.4742436108252,2,https://www.google.com/maps/dir/Colegio+Público+Javier+de+Miguel/Bicimad+Concordia
Colegio Público Joaquín Costa,PASEO PONTONES 8,Paseo Imperial,Paseo Imperial nº 20,377.55155863257926,11,https://www.google.com/maps/dir/Colegio+Público+Joaquín+Costa/Bicimad+Paseo+Imperial
Colegio Público Joaquín Dicenta,PASEO OLIVOS 70,Caramuel,Calle Caramuel nº 51,1165.9198913869375,5,https://www.google.com/maps/dir/Colegio+Público+Joaquín+Dicenta/Bicimad+Caramuel
Colegio Público Joaquín Turina,CALLE ARTURO SORIA 332,Manuel Caldeiro,Paseo de la Castellana nº 298,2123.1470443631533,9,https://www.google.com/maps/dir/Colegio+Público+Joaquín+Turina/Bicimad+Manuel+Caldeiro
Colegio Público Jorge Guillén,AVENIDA EL FERROL 47,Remonta,Calle Azucenas nº 1,1791.6291464722306,4,https://www.google.com/maps/dir/Colegio+Público+Jorge+Guillén/Bicimad+Remonta
Colegio Público Jorge Manrique,PLAZA PINTOR LUCAS 17,San Delfín,Calle San Delfín nº 9,747.7660121205145,3,https://www.google.com/maps/dir/Colegio+Público+Jorge+Manrique/Bicimad+San+Delfín
Colegio Público Josep Tarradellas,CALLE TRIACASTELA 1,Manuel Caldeiro,Paseo de la Castellana nº 298,3764.0869200431853,9,https://www.google.com/maps/dir/Colegio+Público+Josep+Tarradellas/Bicimad+Manuel+Caldeiro
Colegio Público José Bergamín,CALLE BRAILLE 19,Pedro Rico,Calle Pedro Rico nº 4,1815.0663802991685,2,https://www.google.com/maps/dir/Colegio+Público+José+Bergamín/Bicimad+Pedro+Rico
Colegio Público José Calvo Sotelo,AVENIDA CIUDAD DE BARCELONA 83,Pedro Bosch,Calle Cerro de la Plata nº 2,70.93320407186157,19,https://www.google.com/maps/dir/Colegio+Público+José+Calvo+Sotelo/Bicimad+Pedro+Bosch
Colegio Público José María de Pereda,CALLE MESTANZA 94,Méndez Álvaro,Calle Retama nº 5,1374.2687730359116,15,https://www.google.com/maps/dir/Colegio+Público+José+María+de+Pereda/Bicimad+Méndez+Álvaro
Colegio Público José Ortega y Gasset,CALLE ORENSE 87,Remonta,Calle Azucenas nº 1,383.8008773578655,4,https://www.google.com/maps/dir/Colegio+Público+José+Ortega+y+Gasset/Bicimad+Remonta
